Ticker,Event_Date,Surprise_Pct,CAR_20d,Profitable_20d
CROX,2023-11-02 07:00:00,3.81,0.10814239695308292,1
FND,2023-11-02 16:00:00,8.86,0.1565893203799109,1
AAPL,2023-11-02 16:00:00,4.93,0.026907746626962936,1
DUOL,2023-11-08 16:00:00,43.57,0.3110482687978038,1
ONON,2023-11-14 05:00:00,46.8,-0.002033876051614203,0
FIVE,2023-11-29 16:00:00,13.46,0.08690513948610212,1
OLLI,2023-12-06 07:00:00,13.68,-0.10443311672921785,0
RH,2023-12-07 16:00:00,-138.64,-0.003832392448727462,0
TSLA,2024-01-24 16:00:00,-4.1,-0.17478397993682282,0
APPF,2024-01-25 16:00:00,29.65,0.28292328605064176,1
MSFT,2024-01-30 16:00:00,5.83,-0.0073716277656419305,0
LII,2024-01-31 06:00:00,5.71,0.03753527765935338,1
QCOM,2024-01-31 16:00:00,16.1,0.00865045388272434,1
AAPL,2024-02-01 16:00:00,3.55,-0.1501071473692389,0
DECK,2024-02-01 16:00:00,29.56,0.16012413709642992,1
META,2024-02-01 16:00:00,7.88,0.21065360881873152,1
CROX,2024-02-15 07:00:00,8.66,0.19871589586352723,1
TXRH,2024-02-15 16:00:00,1.14,0.0929631473311816,1
WING,2024-02-21 08:00:00,12.11,0.1015180749947362,1
CHDN,2024-02-21 16:00:00,12.23,-0.059933912765617325,0
CAKE,2024-02-21 16:00:00,9.49,-0.01799097054907217,0
FND,2024-02-22 16:00:00,26.51,0.1371887960960565,1
SFM,2024-02-22 16:00:00,7.71,0.16156154661540856,1
DUOL,2024-02-28 16:00:00,13.04,0.21389738274077608,1
ONON,2024-03-12 06:00:00,-138.93,-0.018523083566234444,0
OLLI,2024-03-20 07:00:00,6.02,0.02682077982976183,1
FIVE,2024-03-20 16:00:00,-3.55,-0.2612362854179836,0
RH,2024-03-27 16:00:00,-57.92,-0.09622751089421033,0
TSLA,2024-04-23 16:00:00,-8.14,0.11243785074575874,1
LII,2024-04-24 06:00:00,9.94,0.024729588232768385,1
META,2024-04-24 16:00:00,8.92,-0.09990326652949888,0
CHDN,2024-04-24 16:00:00,36.75,0.05853157131189679,1
MSFT,2024-04-25 16:00:00,3.4,0.007273616605256494,1
APPF,2024-04-25 16:00:00,18.64,0.03339300919501009,1
WING,2024-05-01 08:00:00,28.1,-0.022776793550639662,0
QCOM,2024-05-01 16:00:00,5.31,0.18946860643342556,1
SFM,2024-05-01 16:00:00,10.99,0.1525453409252362,1
FND,2024-05-02 16:00:00,4.66,0.028651666520367325,1
AAPL,2024-05-02 16:00:00,2.05,0.08978467711641469,1
TXRH,2024-05-02 16:00:00,4.27,0.03184998430233876,1
CROX,2024-05-07 07:00:00,34.04,0.12143003541973973,1
CAKE,2024-05-08 16:00:00,14.62,0.08658730841836682,1
DUOL,2024-05-08 16:00:00,46.19,-0.20061334585853308,0
ONON,2024-05-14 05:00:00,127.32,0.2062359000332311,1
DECK,2024-05-23 16:00:00,65.03,0.07506321895591239,1
OLLI,2024-06-05 07:00:00,12.16,0.18433045403301096,1
FIVE,2024-06-05 16:00:00,-4.48,-0.2802611951682529,0
RH,2024-06-13 16:00:00,-341.01,0.028106316946515664,1
TSLA,2024-07-23 20:00:00,-16.15,-0.10873220618116097,0
LII,2024-07-24 06:00:00,3.97,0.04547880523512249,1
CHDN,2024-07-24 16:00:00,6.84,-0.0408979779551607,0
DECK,2024-07-25 16:00:00,28.85,0.08427982011574198,1
TXRH,2024-07-25 16:00:00,9.16,-0.015125440138110902,0
APPF,2024-07-25 16:00:00,19.08,-0.14602513399177164,0
SFM,2024-07-29 16:00:00,21.03,0.20765821467230627,1
MSFT,2024-07-30 16:00:00,0.23,-0.08569312848648625,0
WING,2024-07-31 08:00:00,12.01,0.01616959012025221,1
CAKE,2024-07-31 16:00:00,9.21,0.04447609174351619,1
QCOM,2024-07-31 16:00:00,3.32,-0.08222266965408653,0
META,2024-07-31 16:00:00,8.45,0.0887922754700885,1
CROX,2024-08-01 07:00:00,12.45,0.11773493127701151,1
AAPL,2024-08-01 16:00:00,4.36,0.007466651277405534,1
FND,2024-08-01 16:00:00,1.43,0.14354245144508193,1
DUOL,2024-08-07 16:00:00,18.81,0.2229387190527483,1
ONON,2024-08-13 06:00:00,-15.19,0.20096653915397866,1
FIVE,2024-08-28 16:00:00,-0.24,0.12718719629571984,1
OLLI,2024-08-29 07:00:00,-1.01,-0.028744654745819664,0
RH,2024-09-12 16:00:00,5.19,0.2537419775921783,1
LII,2024-10-23 06:00:00,11.08,0.06382205858825929,1
TSLA,2024-10-23 16:00:00,20.49,0.45497005367612875,1
CHDN,2024-10-23 16:00:00,-7.91,0.0013222340855056913,1
TXRH,2024-10-24 16:00:00,-4.36,0.04723693023866138,1
APPF,2024-10-24 16:00:00,24.86,0.1709763929587691,1
DECK,2024-10-24 16:00:00,28.24,0.16938669924299177,1
CROX,2024-10-29 07:00:00,15.93,-0.2262178917085571,0
CAKE,2024-10-29 16:00:00,17.68,0.15604174717067842,1
WING,2024-10-30 08:00:00,-6.58,-0.11747559169395172,0
FND,2024-10-30 16:00:00,9.16,0.04684582449415764,1
MSFT,2024-10-30 16:00:00,6.13,-0.03973826687741022,0
META,2024-10-30 16:00:00,13.94,-0.020276031495848335,0
SFM,2024-10-30 16:00:00,17.22,0.22631154729065006,1
AAPL,2024-10-31 16:00:00,2.48,-0.0012964881691344132,0
QCOM,2024-11-06 16:00:00,4.74,-0.08610093633038818,0
DUOL,2024-11-06 16:00:00,15.29,0.16737676203869845,1
ONON,2024-11-12 05:00:00,-21.1,0.14568270918832105,1
FIVE,2024-12-04 16:00:00,145.82,0.15637205758344985,1
OLLI,2024-12-10 07:00:00,1.36,0.08758261819598323,1
RH,2024-12-12 16:00:00,-6.21,0.1865199034656574,1
LII,2025-01-29 06:00:00,32.03,-0.0708913650525852,0
